A1 A2 AKC ATC
81 66 1 4
17 88 2 4
31 22 3 2
92 43 3 2
21 14 1 3
14 35 1 3
73 3 3 3
62 76 1 3
98 41 4 4
91 78 1 3
12 53 4 2
76 71 2 4
53 73 4 4
13 28 3 3
63 47 4 2
96 7 4 1
6 25 1 1
6 43 1 4
19 93 3 4
97 22 2 2
58 1 4 4
93 71 3 2
9 44 2 2
30 29 2 3
52 14 3 1
48 33 2 4
96 50 4 1
7 16 3 1
31 8 2 3
94 19 4 1
58 28 2 3
16 37 1 1
76 30 3 4
40 79 4 4
88 1 3 3
2 28 2 2
95 9 3 2
1 16 1 1
91 65 1 2
20 2 2 2
24 0 1 2
15 13 4 2
4 33 1 2
85 85 4 3
58 94 4 1
10 14 3 2
94 46 3 4
15 37 2 3
51 19 4 2
13 13 4 2
66 93 2 3
54 90 3 4
57 63 3 1
83 60 4 1
66 35 4 2
83 97 4 4
49 32 3 2
65 93 2 1
76 94 1 4
53 52 2 2
79 0 2 1
83 43 1 3
68 20 1 4
79 6 2 2
2 97 2 3
53 61 4 3
56 71 2 2
59 11 4 1
55 34 1 3
19 7 2 4
91 57 4 3
69 28 3 2
63 20 1 1
40 76 3 3
54 90 1 2
42 54 3 1
99 72 1 2
50 2 3 2
78 2 1 2
37 73 3 4
73 68 2 3
18 71 2 2
78 38 3 3
44 77 1 4
42 77 2 2
21 52 4 1
95 1 3 3
51 41 4 4
98 19 2 4
12 52 2 1
30 72 4 2
89 99 4 2
79 15 3 2
18 29 4 4
70 87 3 4
58 57 1 1
91 72 2 2
45 39 1 2
93 30 4 2
42 1 4 3
34 10 3 2
44 47 1 4
85 64 2 4
38 33 2 4
70 88 4 3
12 7 3 3
53 92 1 1
40 57 1 4
70 98 2 3
23 35 4 3
53 59 4 3
89 42 3 2
73 79 1 3
56 64 2 4
87 82 1 4
94 51 2 2
74 90 4 2
47 27 3 2
80 86 3 3
99 4 4 1
51 40 1 2
63 0 1 2
14 59 3 1
87 25 1 3
20 9 1 1
44 15 4 1
7 61 3 1
90 42 2 2
97 48 3 1
45 29 3 3
60 37 4 4
91 52 2 4
42 4 1 4
44 1 3 4
31 42 1 3
63 50 1 1
5 92 2 3
53 17 4 4
34 13 2 4
19 79 3 3
64 63 3 2
26 13 2 1
19 1 1 4
13 75 3 1
67 88 2 1
26 0 4 1
9 29 1 2
46 50 1 1
38 38 2 3
91 37 1 2
29 3 2 2
34 37 1 1
13 46 4 4
99 96 1 3
61 61 3 3
84 88 2 4
37 83 1 1
73 60 3 3
56 55 4 2
98 85 2 4
35 83 1 3
35 19 2 2
18 51 2 4
69 76 2 1
94 17 1 3
69 84 1 3
30 87 3 3
13 81 1 1
8 84 1 3
44 65 4 4
36 54 1 1
73 34 1 3
58 19 4 2
1 68 1 1
41 92 1 1
62 70 2 1
81 98 3 2
42 63 4 3
45 91 2 2
37 45 2 1
24 63 2 3
92 45 4 4
45 35 2 3
92 71 2 2
9 51 3 3
4 43 3 2
91 38 3 2
94 74 3 3
85 59 1 3
84 66 1 4
40 11 2 2
18 54 3 2
2 74 2 4
1 57 1 4
86 66 1 3
85 16 1 2
45 35 2 2
22 87 2 1
73 24 2 4
41 58 2 4
