B1 B2 B3 BKC BTC
50 49 8 2 1
29 30 41 1 3
36 71 93 3 2
14 31 60 3 4
78 6 76 1 3
79 60 24 1 4
22 71 8 1 3
13 62 36 4 4
47 53 72 2 2
82 61 95 2 4
38 39 90 3 1
75 26 0 3 1
78 34 55 4 3
82 72 63 3 2
45 88 82 1 4
33 62 10 2 1
4 37 34 1 1
23 36 14 3 4
10 69 25 3 3
34 12 4 2 3
4 93 7 4 1
2 95 80 3 2
99 80 36 2 3
37 7 91 2 2
50 38 89 2 3
1 60 30 4 2
22 72 54 4 3
50 48 93 3 3
17 1 57 4 3
86 73 78 2 1
37 38 98 2 2
0 94 28 3 3
49 85 27 1 1
10 31 16 1 3
48 72 55 1 4
84 85 12 1 3
48 81 6 2 2
57 17 56 2 1
87 47 39 1 4
83 79 36 3 2
78 34 6 1 2
41 98 84 3 3
87 18 58 4 3
10 17 19 2 1
5 81 40 1 4
11 22 78 2 2
0 28 87 4 4
29 63 42 3 1
43 60 1 4 2
32 75 27 1 1
84 70 83 2 4
35 31 24 1 2
95 13 54 4 4
84 51 20 3 3
73 75 48 3 4
2 16 0 1 4
64 38 19 2 3
67 17 14 2 3
26 87 78 3 2
60 91 33 4 2
57 15 51 3 2
37 39 35 4 4
78 10 61 3 3
52 17 55 1 2
17 92 7 2 3
84 46 85 1 3
77 43 93 2 3
95 7 79 1 2
74 59 46 3 2
16 86 74 4 2
51 26 52 1 2
66 99 75 4 3
41 66 79 4 2
37 22 63 2 2
58 84 18 3 2
0 0 36 4 1
92 70 26 2 2
98 76 84 2 1
72 68 31 2 1
41 9 91 3 4
49 16 63 3 4
79 75 60 2 3
53 16 50 1 1
41 20 58 2 1
98 13 23 2 3
46 71 23 4 4
2 22 49 3 2
67 10 75 1 4
64 87 46 4 1
63 48 84 4 2
93 90 33 2 4
97 27 72 3 1
28 71 99 3 4
84 87 79 2 3
16 5 37 3 2
32 21 75 2 3
18 72 86 2 2
87 98 76 3 2
97 25 73 2 3
50 0 59 1 1
47 10 79 2 3
55 7 60 1 3
35 26 75 1 1
20 6 50 4 2
55 1 82 2 1
20 95 49 2 2
34 3 21 3 4
52 39 57 2 2
27 23 92 4 2
73 92 90 3 1
47 98 81 2 4
10 49 83 1 1
84 90 61 3 3
65 52 91 1 4
43 5 44 4 3
68 93 53 1 4
20 38 3 2 1
22 31 38 2 1
7 13 66 2 1
51 57 14 1 2
84 55 30 4 2
0 88 97 3 1
17 43 84 4 4
52 52 98 2 4
46 64 25 1 1
44 22 32 3 3
96 36 15 4 4
69 90 48 4 2
94 89 0 3 1
0 47 38 4 1
11 29 75 4 3
84 12 11 1 4
43 18 49 3 2
6 37 2 4 4
7 50 55 2 1
99 39 7 3 2
64 86 73 2 2
93 15 71 1 1
11 15 32 1 4
47 67 70 2 1
70 19 57 3 2
53 9 35 1 1
79 14 70 2 4
23 87 1 1 4
75 33 16 2 2
8 51 61 1 1
3 30 5 3 3
12 58 83 3 4
30 77 99 2 2
12 49 75 4 1
99 25 40 1 4
94 59 21 1 1
50 28 62 1 3
2 84 23 2 3
27 61 27 2 4
39 89 57 1 1
88 37 0 1 1
77 34 83 4 3
59 59 72 2 2
34 8 67 1 4
73 1 70 3 4
73 56 60 2 2
33 98 95 2 3
86 42 65 3 4
73 55 17 4 3
46 47 97 1 2
45 94 54 4 1
0 47 59 2 2
6 75 51 4 1
62 23 38 2 1
96 50 28 2 1
67 96 31 2 3
4 22 85 4 1
0 77 88 2 3
15 5 36 2 4
36 19 80 3 3
96 36 25 1 2
80 60 59 4 1
51 83 35 4 4
93 6 5 3 1
0 92 73 4 4
40 33 98 2 1
9 79 20 4 3
19 76 98 1 4
45 27 47 4 1
35 58 80 1 3
57 77 64 1 3
4 52 93 2 1
2 45 72 2 4
87 5 20 1 3
79 14 52 3 4
71 45 23 2 1
65 15 33 1 3
62 54 78 3 2
13 29 6 4 4
80 17 44 2 4
32 1 71 1 2
65 44 52 3 3
23 7 24 1 2
57 39 72 3 3
