C1 C2 C3 C4 CKC CTC
75 8 10 96 1 2
52 56 99 0 4 1
50 56 94 44 4 3
69 87 31 37 3 1
14 2 8 94 2 2
21 90 76 52 2 2
32 10 33 6 2 2
73 37 77 82 3 2
6 21 45 75 4 1
5 78 3 33 2 3
2 9 12 48 4 1
36 56 30 32 3 3
48 81 3 14 4 4
70 78 42 69 3 1
91 15 55 84 1 2
7 46 88 10 2 1
31 63 94 88 2 4
55 1 68 88 3 1
16 22 47 89 1 4
70 8 94 97 3 4
91 60 91 5 1 3
79 59 66 60 1 3
74 1 36 0 3 1
36 0 32 31 4 3
62 94 19 6 1 2
54 35 11 51 2 1
78 33 60 83 4 4
39 37 36 27 4 2
57 75 69 86 3 4
42 37 24 81 4 3
28 86 26 15 3 1
31 79 72 11 3 4
94 52 59 72 4 3
88 41 62 86 1 1
82 40 1 40 4 3
70 13 40 4 2 1
77 5 65 22 2 1
75 62 14 48 2 1
84 19 39 0 1 4
25 29 16 6 1 1
58 95 99 76 3 1
20 71 46 88 4 3
76 7 33 8 1 3
20 42 8 42 3 2
10 24 56 24 2 3
85 66 53 79 2 1
47 49 85 26 2 1
91 60 64 45 3 2
73 37 57 57 1 3
77 97 16 39 3 3
56 49 76 50 1 1
85 2 13 44 3 3
76 87 12 84 2 1
85 94 38 0 2 3
12 7 48 37 3 1
14 22 19 66 3 2
97 17 17 49 4 4
70 95 66 3 4 2
82 59 38 78 3 3
95 69 40 85 2 4
17 9 85 28 2 2
18 20 17 44 1 3
42 25 86 24 2 2
43 22 58 79 2 2
24 83 30 45 3 4
90 47 3 12 1 1
92 18 29 96 1 1
60 48 28 71 3 2
63 18 90 94 2 3
89 7 17 76 3 1
81 13 63 76 3 1
49 44 62 82 2 1
31 99 49 49 3 2
37 72 24 77 3 2
21 53 25 10 3 1
3 68 95 33 4 4
37 4 89 5 2 4
66 30 10 60 1 1
12 13 97 72 3 1
30 44 14 57 4 1
38 53 58 7 4 4
90 23 56 96 2 2
92 45 40 48 2 2
83 84 53 16 1 1
39 6 36 83 4 2
33 31 70 98 3 2
92 78 18 32 1 4
77 96 42 10 1 4
91 78 58 94 1 2
71 18 63 63 4 4
71 2 29 98 1 3
34 56 67 56 2 4
20 63 45 80 4 4
53 76 12 48 4 2
62 14 45 69 4 2
73 55 81 88 3 2
7 99 85 72 3 3
16 21 48 13 4 2
47 4 99 86 1 3
91 14 91 98 4 2
76 1 93 99 3 4
18 71 32 44 4 2
1 89 89 39 4 2
81 11 11 9 3 1
55 94 82 89 1 4
50 3 65 62 3 4
55 78 26 39 2 3
70 10 69 89 1 4
47 27 3 28 3 4
14 13 75 94 2 1
94 6 5 94 1 2
51 57 35 70 4 3
70 85 82 57 2 4
10 21 43 12 4 4
68 59 52 59 3 1
5 76 6 93 1 1
42 0 62 69 3 2
26 86 17 29 4 4
27 8 74 57 1 1
62 2 35 75 3 1
78 21 20 79 4 1
80 47 38 23 4 4
18 19 56 8 4 2
83 6 36 4 3 4
0 56 33 69 3 1
19 95 38 87 3 3
86 85 0 84 1 1
41 30 27 44 3 2
59 33 28 25 2 2
67 73 90 63 1 3
96 26 7 50 2 3
39 23 68 84 3 1
94 76 18 94 3 3
47 59 99 80 2 1
69 33 23 89 2 1
52 65 22 47 1 2
29 20 34 94 4 3
33 42 81 64 3 1
7 14 85 35 1 2
23 49 65 28 1 3
82 10 82 23 4 2
56 56 67 20 1 1
67 45 89 78 1 4
83 48 30 71 2 4
69 22 91 75 4 4
29 1 7 91 1 1
45 36 47 23 4 2
61 25 23 42 2 1
11 35 56 75 2 4
25 91 61 50 4 4
52 71 4 83 2 3
43 10 86 21 3 4
64 2 67 93 3 2
45 91 67 81 2 4
32 28 89 71 1 3
0 45 51 72 3 4
48 96 65 22 1 4
68 71 23 11 4 2
96 57 25 43 2 2
56 41 48 0 3 4
70 18 20 64 2 2
93 60 50 98 4 4
44 38 27 70 4 2
45 79 85 95 2 4
8 76 56 57 3 4
85 92 87 67 2 3
13 1 55 64 1 4
80 12 77 40 1 2
32 61 27 52 1 4
40 63 86 53 2 2
88 30 99 48 2 4
49 52 61 11 1 4
39 94 75 14 4 4
35 36 24 83 1 3
7 55 65 87 4 4
46 67 14 44 2 2
82 55 47 15 1 1
35 42 61 81 2 4
12 55 32 10 2 1
76 56 37 10 4 1
73 1 32 20 3 3
31 93 7 78 1 3
66 8 89 43 2 4
68 9 36 42 1 2
83 47 65 75 2 2
41 65 41 42 3 1
39 64 87 49 4 1
73 37 60 79 1 1
63 22 44 79 1 1
72 94 0 83 3 1
50 14 15 1 1 1
24 53 34 49 4 3
41 44 35 3 4 2
15 23 70 34 4 3
71 17 56 0 2 3
93 74 15 6 4 4
73 63 56 80 3 2
44 11 34 52 2 4
92 79 75 85 2 2
53 12 38 89 1 3
